"","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"XM_022432115.1",39,52,115,130,110,115,105,95,125,86,94
"XM_022432119.1",57,114,130,107,204,111,133,278,101,141,125
"XM_022432120.1",46,87,83,75,84,62,41,101,96,103,50
"XM_022432122.1",0,146,129,171,193,144,276,490,144,221,137
"XM_022432129.1",709,755,1472,1309,1186,1227,620,668,720,732,562
"XM_022432146.1",0,50,0,0,140,0,174,276,108,136,52
"XM_022432274.1",0,40,0,0,87,108,40,165,40,101,42
"XM_022432303.1",0,0,168,82,85,0,85,233,0,183,0
"XM_022432321.1",0,36,42,33,88,35,34,99,114,155,33
"XM_022432354.1",0,18,0,0,42,23,115,129,83,129,65
"XM_022432399.1",0,35,26,29,26,29,0,0,26,0,0
"XM_022432411.1",0,0,23,49,45,46,47,53,46,20,37
"XM_022432440.1",0,41,60,54,23,64,0,32,24,17,0
"XM_022432443.1",40,36,92,50,71,0,16,142,14,16,0
"XM_022432444.1",35,47,62,97,92,80,99,117,37,42,71
"XM_022432474.1",34,129,86,90,150,142,115,264,0,123,87
"XM_022432478.1",0,0,0,0,52,60,106,170,52,103,0
"XM_022432481.1",31,59,67,51,70,44,58,148,68,76,49
"XM_022432511.1",0,39,55,0,83,89,40,166,114,131,0
"XM_022432525.1",0,0,0,51,105,83,99,151,119,174,99
"XM_022432557.1",0,85,101,130,149,97,121,179,156,191,121
"XM_022432564.1",162,331,384,392,526,496,269,268,437,458,213
"XM_022432574.1",0,0,59,46,58,55,0,0,108,57,0
"XM_022432616.1",0,313,292,283,313,305,245,191,153,333,80
"XM_022432618.1",0,0,0,222,276,175,0,438,221,282,202
"XM_022432620.1",0,20,46,49,80,29,61,121,48,78,51
"XM_022432623.1",0,404,439,113,185,186,375,415,139,299,170
"XM_022432638.1",0,145,135,149,144,150,148,187,166,192,0
"XM_022432642.1",299,689,605,524,880,739,714,1381,518,673,407
"XM_022432647.1",0,0,0,127,150,136,110,0,0,190,118
"XM_022432649.1",0,79,0,35,32,71,39,195,35,59,0
"XM_022432652.1",0,0,0,0,65,0,106,241,37,36,0
"XM_022432658.1",0,32,61,63,81,86,61,81,56,60,52
"XM_022432662.1",0,107,107,96,128,101,0,119,52,120,86
"XM_022432664.1",0,100,106,106,152,108,76,115,101,111,41
"XM_022432665.1",0,26,21,45,39,49,0,50,58,62,17
"XM_022432667.1",16,65,60,57,65,66,71,64,84,101,54
"XM_022432669.1",0,54,56,66,66,72,92,139,96,95,88
"XM_022432675.1",0,14,0,28,47,43,15,21,34,31,25
"XM_022432705.1",825,1992,2039,1701,2255,1791,1929,3764,1828,2408,1543
"XM_022432719.1",74,76,116,110,184,105,137,127,89,101,96
"XM_022432727.1",287,82,481,239,284,672,0,0,0,0,0
"XM_022432735.1",6,5,7,17,17,13,7,0,16,10,0
"XM_022432755.1",0,81,91,118,256,142,382,837,191,291,210
"XM_022432764.1",0,0,18,59,42,43,55,0,63,50,51
"XM_022432768.1",174,298,243,317,385,291,420,829,361,423,279
"XM_022432795.1",1726,3276,4214,3590,4276,4515,3472,4258,4523,4196,3293
"XM_022432807.1",248,185,440,314,479,436,178,337,274,260,144
"XM_022432849.1",480,872,862,870,926,970,623,1036,879,860,544
"XM_022432876.1",0,0,0,0,38,0,90,131,53,39,0
"XM_022432878.1",83,342,274,235,346,327,138,452,265,321,173
"XM_022432899.1",162,247,280,315,410,312,309,601,276,364,239
"XM_022432900.1",0,0,50,24,51,0,20,0,0,27,0
"XM_022432906.1",0,0,0,0,54,39,46,119,0,93,0
"XM_022432914.1",61,86,131,84,82,121,57,58,107,109,65
"XM_022432916.1",0,0,0,0,101,39,42,221,38,89,0
"XM_022432927.1",13,0,15,0,13,0,0,0,14,27,13
"XM_022432928.1",80,128,168,166,128,153,84,26,123,137,58
"XM_022432950.1",101,259,255,248,274,296,186,237,341,359,146
"XM_022432987.1",0,34,39,32,39,35,68,104,41,59,37
"XM_022432988.1",0,53,33,33,23,46,40,152,40,54,50
"XM_022433001.1",1677,2272,2849,4395,3585,4737,1960,3004,2781,2827,1610
"XM_022433002.1",1743,2294,2632,4773,3451,5614,1788,2322,1856,1720,1128
"XM_022433009.1",0,82,48,41,44,42,39,112,47,109,0
"XM_022433066.1",0,92,0,0,48,0,88,168,56,47,0
"XM_022433073.1",26,59,73,64,87,61,48,72,82,106,64
"XM_022433113.1",212,139,300,335,209,98,49,138,228,135,123
"XM_022433128.1",0,44,51,48,63,45,0,44,0,46,0
"XM_022433153.1",29,54,63,90,86,73,57,54,81,79,30
"XM_022433184.1",329,257,497,514,284,270,349,418,1106,966,662
"XM_022433192.1",329,259,488,509,279,272,344,389,1086,960,660
"XM_022433219.1",60,90,107,72,108,86,51,80,25,43,33
"XM_022433229.1",0,94,78,0,82,78,0,216,0,82,0
"XM_022433242.1",0,85,78,41,124,84,119,179,199,199,134
"XM_022433243.1",0,31,0,19,36,0,29,56,0,55,0
"XM_022433264.1",0,0,16,0,15,0,0,29,40,33,0
"XM_022433272.1",631,211,325,273,332,557,761,1902,242,266,902
"XM_022433280.1",0,0,0,191,643,0,119,0,207,196,0
"XM_022433287.1",0,294,135,81,283,111,330,134,0,439,0
"XM_022433294.1",0,51,35,36,16,21,0,0,0,33,0
"XM_022433297.1",226,167,274,358,357,247,334,430,393,419,345
"XM_022433301.1",47,97,102,98,113,99,151,251,121,175,93
"XM_022433302.1",0,56,43,42,56,37,57,55,25,55,35
"XM_022433312.1",67,77,102,80,63,88,16,50,45,74,34
"XM_022433323.1",296,446,581,586,705,563,667,1106,711,795,541
"XM_022433325.1",0,69,0,0,63,44,149,207,0,0,91
"XM_022433341.1",42,19,56,41,62,56,18,0,0,0,0
"XM_022433377.1",231,307,448,455,388,498,130,213,265,219,166
"XM_022433392.1",0,68,131,156,195,152,183,173,180,232,0
"XM_022433398.1",0,49,62,65,61,54,60,64,58,58,44
"XM_022433442.1",224,400,414,475,527,377,657,1060,583,606,589
"XM_022433449.1",36,60,42,73,93,62,66,145,57,77,54
"XM_022433462.1",0,54,18,0,0,23,0,66,46,48,21
"XM_022433497.1",29,92,125,101,147,116,99,238,117,150,106
"XM_022433499.1",20,105,37,44,63,33,93,192,69,106,81
"XM_022433502.1",18,0,21,0,36,0,0,0,48,36,0
"XM_022433503.1",0,0,0,0,32,0,33,50,28,47,0
"XM_022433529.1",140,303,270,315,447,339,322,453,214,344,138
"XM_022433549.1",22,0,20,40,47,37,0,0,12,11,11
"XM_022433550.1",0,25,35,32,24,56,0,0,0,0,0
"XM_022433551.1",83,55,128,103,89,129,30,0,71,64,43
"XM_022433570.1",53,14,87,44,75,33,14,58,15,32,13
"XM_022433579.1",0,0,0,0,0,0,43,126,104,111,39
"XM_022433582.1",0,49,57,0,71,28,0,74,30,67,24
"XM_022433590.1",34,60,96,133,118,254,80,112,145,130,64
"XM_022433667.1",16,54,69,54,83,59,0,0,81,28,20
"XM_022433675.1",113,155,166,195,229,291,162,130,220,159,128
"XM_022433691.1",149,279,239,316,300,196,221,250,295,414,234
"XM_022433705.1",0,282,241,212,351,256,332,689,270,368,202
"XM_022433721.1",794,1577,2245,1246,1692,1564,1584,2820,1183,1275,1054
"XM_022433727.1",146,121,214,244,265,230,207,348,221,207,173
"XM_022433729.1",0,0,32,39,45,0,23,33,35,36,23
"XM_022433733.1",20,0,39,13,13,39,0,0,0,0,0
"XM_022433765.1",11,32,36,27,28,19,33,49,30,48,27
"XM_022433783.1",0,42,34,45,75,45,51,48,68,67,0
"XM_022433802.1",0,19,19,0,48,37,16,33,20,52,0
"XM_022433804.1",0,23,58,29,59,35,0,48,67,56,0
"XM_022433810.1",822,938,1086,1107,855,975,246,425,238,417,198
"XM_022433812.1",36,46,84,41,56,84,0,11,28,35,0
"XM_022433856.1",191,166,299,259,363,393,146,333,237,175,132
"XM_022433860.1",48,49,68,52,74,62,54,107,67,48,52
"XM_022433883.1",109,308,215,233,279,282,253,323,316,351,194
"XM_022433895.1",67,191,184,123,161,181,127,145,140,141,121
"XM_022433901.1",172,153,304,331,257,150,77,79,102,77,120
"XM_022433945.1",44,83,111,136,88,94,66,79,73,93,64
"XM_022433962.1",17,0,41,35,15,31,0,0,36,0,18
"XM_022433968.1",0,0,0,0,0,25,32,28,25,64,24
"XM_022433969.1",17,50,67,109,98,85,108,122,41,97,77
"XM_022433990.1",151,136,221,275,233,234,131,70,133,129,59
"XM_022434028.1",1601,2877,4165,3050,3791,3236,2555,3788,2129,2961,2087
"XM_022434038.1",91,100,172,147,174,194,141,192,161,162,89
"XM_022434047.1",56,65,111,97,105,86,40,82,83,89,47
"XM_022434060.1",1958,3406,4034,3303,3814,3746,3172,4014,4458,3874,2759
"XM_022434069.1",170,311,239,910,619,831,252,379,579,537,204
"XM_022434097.1",61,19,57,61,89,174,0,0,0,22,0
"XM_022434108.1",43,23,88,86,67,74,0,0,29,57,36
"XM_022434111.1",40,13,35,25,44,57,0,0,0,0,0
"XM_022434124.1",0,0,74,62,35,93,58,64,27,0,0
"XM_022434134.1",13,28,11,42,7,21,10,0,69,17,0
"XM_022434135.1",0,10,7,30,36,0,0,0,42,14,14
"XM_022434141.1",143,126,249,221,219,136,170,295,194,210,160
"XM_022434155.1",22,23,77,85,89,57,0,22,46,56,36
"XM_022434172.1",0,25,27,37,40,24,32,44,30,32,20
"XM_022434216.1",0,91,59,59,94,69,86,196,0,85,29
"XM_022434258.1",0,0,0,0,0,0,38,24,106,90,46
"XM_022434288.1",0,75,80,0,119,97,93,248,96,91,0
"XM_022434309.1",63,90,136,96,137,88,69,71,57,72,41
"XM_022434319.1",0,0,0,33,43,38,15,82,47,24,26
"XM_022434330.1",0,0,0,27,84,78,64,73,25,51,0
"XM_022434353.1",119,269,270,252,301,278,392,662,365,454,275
"XM_022434368.1",121,185,308,277,345,288,148,129,269,259,197
"XM_022434388.1",146,174,184,119,54,73,9,27,51,33,24
"XM_022434391.1",0,0,0,0,0,0,87,220,118,128,93
"XM_022434400.1",30,141,128,126,168,118,171,416,178,196,143
"XM_022434407.1",207,402,610,591,689,509,355,545,536,526,386
"XM_022434413.1",136,291,278,319,438,338,266,634,272,291,185
"XM_022434446.1",29,11,52,39,22,30,31,15,50,51,39
"XM_022434449.1",0,32,68,39,80,67,27,37,59,68,0
"XM_022434493.1",1953,4998,5025,4253,5049,4834,3074,3051,5759,4703,3369
"XM_022434503.1",0,0,0,0,20,26,25,0,57,58,32
"XM_022434526.1",192,227,360,453,345,325,323,294,319,408,198
"XM_022434537.1",202,510,567,392,640,456,542,931,455,614,334
"XM_022434539.1",212,410,458,417,419,431,218,261,332,456,239
"XM_022434555.1",0,704,683,710,947,758,761,1056,809,1052,508
"XM_022434557.1",0,0,0,0,120,55,0,171,119,154,0
"XM_022434571.1",0,66,57,111,112,61,130,193,148,175,129
"XM_022434627.1",0,117,80,109,135,133,64,81,131,125,35
"XM_022434633.1",6,0,7,18,17,13,7,0,15,10,0
"XM_022434634.1",22,29,36,71,58,50,73,95,45,49,46
"XM_022434673.1",41,18,46,38,22,20,10,0,29,26,0
"XM_022434719.1",0,35,0,37,48,52,0,61,0,39,0
"XM_022434735.1",0,47,43,38,42,45,16,51,30,35,0
"XM_022434746.1",0,0,58,79,154,0,166,273,63,131,0
"XM_022434765.1",16,20,13,39,35,0,17,56,14,36,0
"XM_022434766.1",0,110,191,88,96,191,195,379,245,218,0
"XM_022434785.1",0,0,0,0,26,0,75,136,0,52,46
"XM_022434789.1",212,241,341,274,289,430,165,179,202,166,116
"XM_022434833.1",0,21,11,0,21,24,34,71,0,21,0
"XM_022434896.1",0,55,89,91,142,70,128,141,104,124,100
"XM_022434900.1",28,28,103,60,72,108,60,66,57,26,26
"XM_022434903.1",0,0,21,48,53,0,0,21,0,52,0
"XM_022434909.1",0,65,61,89,84,87,71,73,77,83,73
"XM_022434917.1",49,88,74,73,78,59,56,0,72,104,24
"XM_022434933.1",141,104,260,105,41,78,0,0,49,22,0
"XM_022434937.1",68,87,176,148,190,179,147,200,318,256,135
"XM_022434940.1",0,0,0,0,64,76,0,30,53,28,33
"XM_022434973.1",0,81,171,178,198,181,78,210,205,213,0
"XM_022434982.1",31,30,42,46,32,33,14,0,53,51,43
"XM_022435081.1",1468,3117,3191,2852,3419,3582,3426,4402,4102,3337,2445
"XM_022435096.1",35,75,93,62,107,82,113,195,96,81,69
"XM_022435099.1",0,38,22,10,11,0,40,65,10,30,0
"XM_022435106.1",46,54,86,84,96,92,54,26,68,54,43
"XM_022435107.1",0,23,29,46,27,12,0,0,28,14,23
"XM_022435120.1",0,23,23,18,18,27,0,0,13,0,0
"XM_022435122.1",349,657,694,698,993,726,783,1395,630,847,611
"XM_022435123.1",121,400,359,407,237,364,185,306,287,239,226
"XM_022435130.1",61,211,222,98,131,238,60,25,172,124,107
"XM_022435131.1",284,570,470,428,621,484,479,929,402,547,356
"XM_022435197.1",127,263,279,291,392,368,518,791,323,351,288
"XM_022435214.1",0,0,0,20,47,38,19,0,21,23,0
"XM_022435256.1",0,0,63,0,57,77,0,0,107,85,0
"XM_022435291.1",114,383,269,223,243,224,211,279,149,255,128
"XM_022435302.1",76,126,161,95,58,155,33,35,79,43,34
"XM_022435306.1",23,144,141,0,56,216,0,48,140,49,0
"XM_022435309.1",0,184,129,33,67,73,0,29,0,0,0
"XM_022435310.1",37,112,91,88,140,92,109,227,92,131,75
"XM_022435342.1",0,28,0,0,24,28,0,57,53,70,0
"XM_022435346.1",29,0,74,79,81,99,80,104,102,124,67
"XM_022435373.1",627,636,922,574,572,471,328,353,598,469,362
"XM_022435408.1",60,51,94,104,111,81,0,0,52,45,42
"XM_022435436.1",0,0,0,0,0,0,132,368,43,94,42
"XM_022435441.1",47,53,60,54,67,134,41,21,33,31,10
"XM_022435450.1",0,0,10,16,33,20,0,14,0,0,19
"XM_022435482.1",132,172,247,242,301,245,183,270,218,223,171
"XM_022435499.1",0,73,0,28,31,29,0,0,39,82,28
"XM_022435505.1",40,97,82,63,98,97,73,81,100,92,86
"XM_022435531.1",577,1528,1566,1223,1165,1365,721,1026,1014,1173,951
"XM_022435532.1",88,140,153,126,256,187,225,409,156,235,157
"XM_022435537.1",24,91,92,109,144,129,66,81,74,110,67
"XM_022435557.1",80,171,179,100,64,162,33,38,77,44,39
"XM_022435575.1",0,47,56,18,18,42,0,41,42,37,0
"XM_022435589.1",35,112,96,85,146,92,113,234,85,129,76
"XM_022435612.1",0,63,57,67,89,60,26,72,61,61,32
"XM_022435615.1",142,427,324,263,325,298,147,285,271,262,177
"XM_022435621.1",76,150,167,103,131,156,150,267,237,186,148
"XM_022435628.1",66,100,106,31,31,75,47,77,0,29,0
"XM_022435632.1",0,53,60,104,157,49,145,262,84,150,77
"XM_022435640.1",95,333,110,121,164,234,104,265,83,172,53
"XM_022435683.1",0,67,54,52,69,45,0,50,0,0,23
"XM_022435687.1",556,1568,1703,1388,1620,1552,945,1326,1784,1621,1123
"XM_022435690.1",0,34,34,0,0,15,0,19,31,14,0
"XM_022435704.1",0,0,21,24,63,57,70,132,33,63,67
"XM_022435767.1",88,77,108,111,77,93,48,21,44,60,30
"XM_022435811.1",108,150,232,225,170,242,73,39,169,141,87
"XM_022435827.1",0,0,9,14,20,9,8,23,0,22,0
"XM_022435847.1",211,493,410,389,494,451,488,701,565,643,354
"XM_022435849.1",0,26,0,57,61,22,0,24,29,42,0
"XM_022435862.1",34,81,119,87,178,87,89,0,88,119,67
"XM_022435910.1",14,45,47,95,56,51,189,93,168,157,107
"XM_022435935.1",0,25,11,27,116,33,23,55,15,39,15
"XM_022435972.1",40,194,26,33,86,26,53,223,54,176,80
"XM_022435988.1",131,538,346,343,486,222,308,338,349,564,314
"XM_022436017.1",172,312,308,254,247,334,237,475,208,245,193
"XM_022436059.1",0,169,168,174,230,240,63,183,148,227,63
"XM_022436060.1",86,143,188,231,204,218,105,147,132,145,94
"XM_022436068.1",94,74,182,151,147,112,102,61,144,121,81
"XM_022436139.1",1915,4566,5472,4032,4808,4849,3638,6250,5254,5032,3969
"XM_022436151.1",91,131,109,183,137,202,115,573,187,97,171
"XM_022436154.1",0,0,46,0,104,46,33,0,0,96,0
"XM_022436190.1",59,182,119,127,122,152,108,115,179,164,111
"XM_022436199.1",340,865,983,782,974,1000,681,961,1074,920,723
"XM_022436217.1",1261,2765,4063,37,18,66,81,81,133,107,111
"XM_022436230.1",912,1614,1264,1395,1810,1811,1603,1833,1880,1393,994
"XM_022436299.1",62,146,148,182,260,156,246,258,168,260,166
"XM_022436312.1",31,112,123,41,71,105,99,172,136,152,97
"XM_022436313.1",0,0,37,0,0,0,0,151,100,93,41
"XM_022436333.1",0,57,56,67,135,0,146,298,128,158,0
"XM_022436380.1",346,723,715,633,873,676,603,1034,662,846,513
"XM_022436413.1",105,190,273,247,510,304,340,506,232,315,180
"XM_022436423.1",0,0,0,56,64,0,55,242,58,126,0
"XM_022436485.1",0,106,181,0,187,0,0,268,0,211,0
"XM_022436489.1",0,152,200,92,221,69,243,275,143,122,162
"XM_022436494.1",0,193,132,137,117,66,119,235,116,141,0
"XM_022436509.1",0,77,157,0,164,171,0,224,84,102,0
"XM_022436554.1",38,61,154,87,168,83,195,53,285,301,201
"XM_022436594.1",143,142,260,102,277,230,251,448,237,298,172
"XM_022436660.1",0,276,106,0,119,138,0,0,300,177,0
"XM_022436661.1",0,43,12,15,14,0,31,48,13,38,36
"XM_022436690.1",39,113,51,45,145,170,37,238,80,92,0
"XM_022436699.1",0,0,0,0,27,0,15,20,0,27,14
"XM_022436702.1",0,18,31,32,45,17,40,46,22,46,18
"XM_022436713.1",0,210,155,163,172,0,0,0,115,194,0
"XM_022436716.1",173,406,273,268,366,282,450,505,360,505,282
"XM_022436730.1",81,93,133,140,162,144,89,161,144,146,97
"XM_022436733.1",0,37,31,69,76,74,59,123,86,81,0
"XM_022436738.1",0,178,159,171,193,0,101,0,198,233,115
"XM_022436739.1",0,207,226,192,265,238,220,368,228,265,0
"XM_022436740.1",572,1147,1101,897,947,1138,1348,2075,2100,1941,1268
"XM_022436772.1",0,113,49,112,162,110,129,306,94,156,0
"XM_022436805.1",49,222,168,83,0,216,42,0,138,102,0
"XM_022436816.1",40,214,179,191,212,97,187,365,220,271,147
"XM_022436837.1",0,0,55,0,0,0,122,195,63,144,55
"XM_022436838.1",552,993,1094,1064,1176,1128,844,1311,1102,1375,911
"XM_022436876.1",59,169,123,105,114,132,93,93,169,164,104
"XM_022436896.1",0,0,0,102,155,32,121,164,115,47,99
"XM_022436901.1",0,187,0,0,382,0,175,618,352,431,0
"XM_022436935.1",333,571,479,414,463,560,538,1107,529,643,403
"XM_022436968.1",142,203,212,227,277,240,181,398,281,305,217
"XM_022437001.1",126,206,195,224,302,238,270,512,265,302,164
"XM_022437003.1",0,228,244,198,374,224,244,400,182,291,104
"XM_022437007.1",0,38,39,0,97,65,0,106,36,79,37
"XM_022437024.1",0,149,170,174,175,176,194,159,327,321,224
"XM_022437030.1",195,369,430,313,460,375,387,758,253,425,302
"XM_022437068.1",214,477,504,414,508,590,307,520,486,486,281
"XM_022437089.1",84,208,202,214,263,220,165,186,250,259,138
"XM_022437106.1",0,34,43,40,15,32,0,0,0,30,0
"XM_022437121.1",35,43,60,49,60,59,28,17,45,61,32
"XM_022437125.1",0,0,142,0,72,87,0,0,66,141,0
"XM_022437165.1",0,37,24,36,33,42,0,58,15,0,14
"XM_022437174.1",24,47,62,37,50,43,15,42,27,36,14
"XM_022437181.1",108,490,184,120,104,188,169,208,429,498,210
"XM_022437244.1",959,2095,2453,2061,2268,2072,1152,760,2609,2652,1661
"XM_022437259.1",36,57,46,56,75,39,71,143,77,83,66
"XM_022437260.1",14,46,56,58,71,53,45,128,66,56,62
"XM_022437269.1",0,86,38,84,107,88,111,170,107,93,83
"XM_022437282.1",136,370,302,342,419,306,331,644,426,463,281
"XM_022437285.1",61,151,147,151,234,140,133,218,143,164,107
"XM_022437287.1",159,287,387,285,363,370,265,463,294,283,172
"XM_022437291.1",0,138,56,137,124,202,0,0,153,177,0
"XM_022437305.1",76,393,138,95,81,135,121,164,321,358,163
"XM_022437309.1",0,126,133,56,147,119,129,337,206,167,142
"XM_022437314.1",0,0,15,31,57,0,40,22,51,68,53
"XM_022437317.1",0,79,137,58,79,195,0,228,70,82,0
"XM_022437329.1",0,496,438,319,551,431,216,592,494,605,372
"XM_022437336.1",0,31,28,0,96,80,28,97,72,61,0
"XM_022437339.1",0,0,30,66,0,0,0,0,53,53,27
"XM_022437341.1",95,221,226,237,185,275,160,390,168,169,170
"XM_022437355.1",0,0,0,0,67,71,122,131,127,122,0
"XM_022437368.1",63,39,60,48,69,54,24,40,40,40,23
"XM_022437392.1",118,103,148,97,103,153,52,43,45,52,38
"XM_022437394.1",0,19,50,47,42,43,0,0,0,0,0
"XM_022437412.1",0,47,45,24,55,0,62,132,40,62,32
"XM_022437417.1",0,55,26,55,75,53,23,109,49,60,0
"XM_022437425.1",227,431,373,346,420,393,392,474,443,486,350
"XM_022437441.1",0,0,97,55,65,104,52,151,0,51,0
"XM_022437445.1",0,330,287,314,397,0,0,0,322,126,164
"XM_022437467.1",129,137,242,288,302,208,219,292,388,394,235
"XM_022437518.1",0,74,105,0,249,198,70,73,92,198,0
