"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"67","XM_022460498.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111119920"," suppressor of tumorigenicity 14 protein homolog"
"68","XM_022461001.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111120277"," plasminogen-like"
"69","XM_022461001.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111120277"," plasminogen-like"
"70","XM_022461001.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111120277"," plasminogen-like"
"71","XM_022461001.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111120277"," plasminogen-like"
"72","XM_022461001.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111120277"," plasminogen-like"
"73","XM_022462646.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121379"," MAM and LDL-receptor class A domain-containing protein 1-like"
"74","XM_022462646.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121379"," MAM and LDL-receptor class A domain-containing protein 1-like"
"75","XM_022462646.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121379"," MAM and LDL-receptor class A domain-containing protein 1-like"
"76","XM_022462646.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111121379"," MAM and LDL-receptor class A domain-containing protein 1-like"
"77","XM_022462646.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111121379"," MAM and LDL-receptor class A domain-containing protein 1-like"
"78","XM_022463070.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121703"," meprin A subunit beta-like"
"79","XM_022463070.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111121703"," meprin A subunit beta-like"
"80","XM_022463070.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111121703"," meprin A subunit beta-like"
"81","XM_022463070.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121703"," meprin A subunit beta-like"
"82","XM_022463070.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111121703"," meprin A subunit beta-like"
"83","XM_022463568.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111122041"," elastase-1-like"
"84","XM_022463568.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111122041"," elastase-1-like"
"85","XM_022463568.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111122041"," elastase-1-like"
"86","XM_022463568.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111122041"," elastase-1-like"
"87","XM_022463568.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111122041"," elastase-1-like"
"88","XM_022466797.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111123988"," alpha-aspartyl dipeptidase-like"
"89","XM_022466797.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111123988"," alpha-aspartyl dipeptidase-like"
"90","XM_022466797.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111123988"," alpha-aspartyl dipeptidase-like"
"91","XM_022466797.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111123988"," alpha-aspartyl dipeptidase-like"
"92","XM_022466797.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111123988"," alpha-aspartyl dipeptidase-like"
"93","XM_022467480.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111124539"," kunitz-type U19-barytoxin-Tl1a-like"
"94","XM_022467573.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111124591"," kunitz-type protease inhibitor 1-like"
"95","XM_022468543.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111125083"," ganglioside GM2 activator-like"
"96","XM_022471169.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111126484"," uncharacterized"
"97","XM_022471194.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111126505"," microsomal glutathione S-transferase 2-like"
"98","XM_022471959.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111126994"," fibrinolytic enzyme, isozyme C-like"
"99","XM_022471959.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111126994"," fibrinolytic enzyme, isozyme C-like"
"100","XM_022471959.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111126994"," fibrinolytic enzyme, isozyme C-like"
"101","XM_022471959.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111126994"," fibrinolytic enzyme, isozyme C-like"
"102","XM_022471959.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111126994"," fibrinolytic enzyme, isozyme C-like"
"103","XM_022473643.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111128165"," blastula protease 10-like"
"104","XM_022473643.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111128165"," blastula protease 10-like"
"105","XM_022473643.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128165"," blastula protease 10-like"
"106","XM_022473643.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128165"," blastula protease 10-like"
"107","XM_022473643.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128165"," blastula protease 10-like"
"108","XM_022474851.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111128901"," neuroendocrine convertase 1-like"
"109","XM_022474851.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128901"," neuroendocrine convertase 1-like"
"110","XM_022474851.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128901"," neuroendocrine convertase 1-like"
"111","XM_022474851.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111128901"," neuroendocrine convertase 1-like"
"112","XM_022474851.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111128901"," neuroendocrine convertase 1-like"
"113","XM_022475987.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129533"," uncharacterized"
"114","XM_022475987.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129533"," uncharacterized"
"115","XM_022475987.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129533"," uncharacterized"
"116","XM_022475987.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129533"," uncharacterized"
"117","XM_022475987.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129533"," uncharacterized"
"118","XM_022476331.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129848"," uncharacterized"
"119","XM_022476331.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129848"," uncharacterized"
"120","XM_022476331.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129848"," uncharacterized"
"121","XM_022476331.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129848"," uncharacterized"
"122","XM_022476331.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111129848"," uncharacterized"
"123","XM_022476331.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129848"," uncharacterized"
"124","XM_022476334.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129849"," uncharacterized"
"125","XM_022476334.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129849"," uncharacterized"
"126","XM_022476334.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111129849"," uncharacterized"
"127","XM_022476334.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129849"," uncharacterized"
"128","XM_022476334.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129849"," uncharacterized"
"129","XM_022476334.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129849"," uncharacterized"
"130","XM_022476404.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129889"," carboxypeptidase Q-like"
"131","XM_022476404.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129889"," carboxypeptidase Q-like"
"132","XM_022476404.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111129889"," carboxypeptidase Q-like"
"133","XM_022476404.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129889"," carboxypeptidase Q-like"
"134","XM_022476404.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111129889"," carboxypeptidase Q-like"
"135","XM_022477432.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111130394"," neuroendocrine convertase 2-like"
"136","XM_022477432.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111130394"," neuroendocrine convertase 2-like"
"137","XM_022477432.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111130394"," neuroendocrine convertase 2-like"
"138","XM_022477432.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111130394"," neuroendocrine convertase 2-like"
"139","XM_022477432.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111130394"," neuroendocrine convertase 2-like"
"140","XM_022478277.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111130969"," arginase, hepatic-like"
"141","XM_022478277.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111130969"," arginase, hepatic-like"
"142","XM_022478277.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111130969"," arginase, hepatic-like"
"143","XM_022478277.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111130969"," arginase, hepatic-like"
"144","XM_022478691.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111131257"," cysteine proteinase inhibitor 8-like"
"145","XM_022478788.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111131316"," cysteine proteinase inhibitor 8-like"
"146","XM_022482009.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111133529"," lysosomal aspartic protease-like"
"147","XM_022482009.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111133529"," lysosomal aspartic protease-like"
"148","XM_022482009.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111133529"," lysosomal aspartic protease-like"
"149","XM_022482009.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111133529"," lysosomal aspartic protease-like"
"150","XM_022482009.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111133529"," lysosomal aspartic protease-like"
"151","XM_022482785.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134017"," sonic hedgehog protein-like"
"152","XM_022482785.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134017"," sonic hedgehog protein-like"
"153","XM_022482785.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111134017"," sonic hedgehog protein-like"
"154","XM_022482785.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111134017"," sonic hedgehog protein-like"
"155","XM_022482785.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134017"," sonic hedgehog protein-like"
"156","XM_022483647.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134528"," meprin A subunit beta-like"
"157","XM_022483647.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111134528"," meprin A subunit beta-like"
"158","XM_022483647.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134528"," meprin A subunit beta-like"
"159","XM_022483647.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111134528"," meprin A subunit beta-like"
"160","XM_022483647.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111134528"," meprin A subunit beta-like"
"161","XM_022487059.1","catalytic activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111136303"," uncharacterized"
"162","XM_022487059.1","hydrolase activity",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111136303"," uncharacterized"
"163","XM_022487059.1","catalytic activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111136303"," uncharacterized"
"164","XM_022487059.1","catalytic activity, acting on a protein",1.11993733555067e-16,"GO:0008233","peptidase activity","MF","blue","LOC111136303"," uncharacterized"
"165","XM_022487059.1","hydrolase activity",0.0487030970575074,"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF","blue","LOC111136303"," uncharacterized"
"166","XM_022487808.1","molecular function regulator activity",1.49354591670171e-05,"GO:0030234","enzyme regulator activity","MF","blue","LOC111136726"," follistatin-related protein 3-like"
