"","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"XM_022430448.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430449.1",690,1951,1656,1317,1778,1493,2427,2998,1679,2203,1334
"XM_022430450.1",294,1024,687,419,431,398,343,401,370,464,213
"XM_022430451.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430452.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430453.1",97,204,224,212,331,244,227,354,174,215,140
"XM_022430454.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430455.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430456.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430457.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430458.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430459.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430460.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430461.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430462.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430463.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430464.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430465.1",0,306,187,106,220,107,0,175,230,341,74
"XM_022430466.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430467.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430468.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430469.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430470.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430471.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430472.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430473.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430474.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430475.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430476.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430477.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430478.1",0,0,0,0,29,0,0,114,0,0,0
"XM_022430479.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430480.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430481.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430482.1",0,0,57,48,46,20,20,20,54,100,23
"XM_022430483.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430484.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430485.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430486.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430487.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430488.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430489.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430490.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430491.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430492.1",0,0,29,0,29,0,0,0,0,0,0
"XM_022430493.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430494.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430495.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430496.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430497.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430498.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430499.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430500.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430501.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430502.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430503.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430504.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430505.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430506.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430507.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430508.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430509.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430510.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430511.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430512.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430513.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430514.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430515.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430516.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430517.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430518.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430519.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430520.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430521.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430522.1",39,60,88,71,149,110,83,219,77,94,76
"XM_022430523.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430524.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430526.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430527.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430528.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430529.1",284,598,608,863,1455,611,999,1768,606,963,738
"XM_022430530.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430531.1",0,0,0,0,39,0,79,160,0,0,0
"XM_022430532.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430533.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430534.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430535.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430536.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430537.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430538.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430539.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430540.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430541.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430542.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430543.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430544.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430545.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430546.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430547.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430548.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430549.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430550.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430551.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430552.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430553.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430554.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430555.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430556.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430557.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430558.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430559.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430560.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430561.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430562.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430563.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430564.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430565.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430566.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430567.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430568.1",12,15,30,36,48,53,41,106,53,41,52
"XM_022430569.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430570.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430571.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430572.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430573.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430574.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430575.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430576.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430577.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430578.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430579.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430580.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430581.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430582.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430583.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430584.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430585.1",0,62,77,69,72,84,69,199,101,84,33
"XM_022430586.1",0,0,0,0,0,0,0,49,0,0,0
"XM_022430587.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430588.1",76,0,93,84,90,34,0,0,0,0,0
"XM_022430589.1",0,0,0,0,27,0,30,127,0,61,24
"XM_022430590.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430591.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430592.1",0,0,0,0,59,0,53,75,0,26,0
"XM_022430593.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430594.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430595.1",24,49,96,76,75,81,107,196,128,162,94
"XM_022430596.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430597.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430598.1",246,149,377,341,389,600,308,315,286,282,179
"XM_022430599.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430600.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430601.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430602.1",0,0,0,0,29,0,0,68,0,0,0
"XM_022430603.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430604.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430605.1",347,724,246,413,413,445,456,1137,433,539,424
"XM_022430606.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430607.1",0,197,181,68,56,0,185,0,52,276,122
"XM_022430608.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430609.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430610.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430611.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430612.1",91,158,100,0,41,0,0,0,0,0,0
"XM_022430613.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430614.1",41,552,194,150,284,61,0,239,261,201,61
"XM_022430615.1",0,0,66,0,0,0,134,149,0,0,0
"XM_022430616.1",0,256,37,38,0,0,121,50,63,84,38
"XM_022430617.1",0,0,0,0,42,0,0,0,0,0,0
"XM_022430618.1",115,216,186,108,82,220,24,75,77,70,0
"XM_022430619.1",0,0,0,0,0,0,0,0,0,169,0
"XM_022430620.1",0,0,0,0,0,59,0,0,0,0,0
"XM_022430621.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430622.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430623.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430624.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430625.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430626.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430627.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430628.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430629.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430630.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430631.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430633.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430634.1",0,0,0,0,0,0,0,0,25,0,0
"XM_022430635.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430636.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430637.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430638.1",79,113,133,144,202,158,111,138,102,96,83
"XM_022430639.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430640.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430641.1",0,0,27,0,62,28,26,101,0,25,26
"XM_022430642.1",28,82,71,34,83,68,0,65,60,72,0
"XM_022430643.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430644.1",0,0,0,0,0,0,124,185,0,50,0
"XM_022430645.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430646.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430647.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430648.1",11,28,43,33,52,43,26,42,53,56,36
"XM_022430649.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430650.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430651.1",0,0,0,0,0,0,0,55,0,0,0
"XM_022430652.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430653.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430654.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430655.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430656.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430657.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430658.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430659.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430660.1",0,21,29,0,43,67,20,23,42,95,0
"XM_022430661.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430662.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430663.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430664.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430665.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430666.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430667.1",0,9,0,9,0,0,0,0,0,0,0
"XM_022430668.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430669.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430670.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430671.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430672.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430673.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430674.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430675.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430676.1",35,38,33,0,87,86,0,0,0,0,0
"XM_022430677.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430678.1",101,206,168,212,251,187,223,202,235,250,217
"XM_022430679.1",15,24,57,45,60,13,0,32,9,24,0
"XM_022430680.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430681.1",28,119,152,133,207,123,175,262,171,178,130
"XM_022430682.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430683.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430684.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430685.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430686.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430687.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430688.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430689.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430690.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430691.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430692.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430693.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430694.1",0,0,0,0,0,110,0,0,0,0,0
"XM_022430695.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430696.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430697.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430698.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430699.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430700.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430701.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430702.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430703.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430704.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430705.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430706.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430707.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430708.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430709.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430710.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430711.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430712.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430713.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430714.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430715.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430716.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430717.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430718.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430719.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430720.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430721.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430722.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430723.1",0,0,0,0,0,0,0,19,0,0,0
"XM_022430724.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430725.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430726.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430727.1",59,59,88,131,111,69,137,230,212,191,167
"XM_022430728.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430729.1",0,0,0,0,0,0,0,65,0,0,0
"XM_022430730.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430731.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430732.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430733.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430734.1",0,0,30,68,86,0,32,30,40,111,29
"XM_022430735.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430736.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430737.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430738.1",0,0,0,0,204,0,274,578,0,200,0
"XM_022430739.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430740.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430741.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430742.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430743.1",0,0,0,0,0,0,0,0,0,16,0
"XM_022430744.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430745.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430746.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430747.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430748.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430749.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430750.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430751.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430752.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430753.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430754.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430755.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430756.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430758.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430759.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430760.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430761.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430762.1",0,112,77,99,114,95,128,148,141,109,92
"XM_022430763.1",0,11,9,10,0,0,0,0,0,0,0
"XM_022430764.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430765.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430766.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430767.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430768.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430769.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430770.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430771.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430772.1",0,260,272,262,341,268,311,589,266,344,192
"XM_022430773.1",0,0,0,0,0,0,0,0,0,0,0
