"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"11","crg:105324627","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105324627","CDS"
"12","crg:105325638","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105325638","CDS"
"13","crg:105326418","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105326418","CDS"
"14","crg:105326463","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105326463","CDS"
"15","crg:105328413","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105328413","CDS"
"16","crg:105328963","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105328963","CDS"
"17","crg:105329407","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105329407","CDS"
"18","crg:105330605","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105330605","CDS"
"19","crg:105331157","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105331157","CDS"
"20","crg:105332215","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105332215","CDS"
"21","crg:105332292","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105332292","CDS"
"22","crg:105332844","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105332844","CDS"
"23","crg:105333469","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105333469","CDS"
"24","crg:105335841","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105335841","CDS"
"25","crg:105335873","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105335873","CDS"
"26","crg:105335875","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105335875","CDS"
"27","crg:105336480","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105336480","CDS"
"28","crg:105337115","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105337115","CDS"
"29","crg:105337746","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105337746","CDS"
"30","crg:105338085","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105338085","CDS"
"31","crg:105338614","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105338614","CDS"
"32","crg:105339104","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105339104","CDS"
"33","crg:105340582","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105340582","CDS"
"34","crg:105341412","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105341412","CDS"
"35","crg:105342397","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105342397","CDS"
"36","crg:105342603","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105342603","CDS"
"37","crg:105343615","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105343615","CDS"
"38","crg:105344033","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105344033","CDS"
"39","crg:105344150","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105344150","CDS"
"40","crg:105344628","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105344628","CDS"
"41","crg:105344646","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105344646","CDS"
"42","crg:105346731","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105346731","CDS"
"43","crg:105347132","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105347132","CDS"
"44","crg:105347217","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105347217","CDS"
"45","crg:105347800","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105347800","CDS"
"46","crg:105347828","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105347828","CDS"
"47","crg:105348141","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105348141","CDS"
