"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"19","crg:105334335","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105334335","CDS"
"20","crg:105334534","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105334534","CDS"
"21","crg:105336770","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105336770","CDS"
"22","crg:105336919","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105336919","CDS"
"23","crg:105337862","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105337862","CDS"
"24","crg:105337940","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105337940","CDS"
"25","crg:105338316","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105338316","CDS"
"26","crg:105338413","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105338413","CDS"
"27","crg:105339285","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105339285","CDS"
"28","crg:105341348","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105341348","CDS"
"29","crg:105342563","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105342563","CDS"
"30","crg:105342980","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105342980","CDS"
"31","crg:105345779","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105345779","CDS"
"32","crg:105346718","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105346718","CDS"
"33","crg:105347084","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105347084","CDS"
"34","crg:105348755","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105348755","CDS"
