"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"27","crg:105326418","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118104"," 60S ribosomal protein L23"
"28","crg:105326463","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111106383"," 60S ribosomal protein L18a-like"
"29","crg:105326463","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111106322"," 60S ribosomal protein L18a-like"
"30","crg:105328963","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111120619"," probable 60S ribosomal protein L37-A"
"31","crg:105330605","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111135345"," 60S ribosomal protein L30-like"
"32","crg:105331157","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118348"," 40S ribosomal protein S15Aa"
"33","crg:105332215","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111128580"," 40S ribosomal protein S15-like"
"34","crg:105332495","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111104388"," 40S ribosomal protein S4-like"
"35","crg:105332495","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111102380"," 40S ribosomal protein S4-like"
"36","crg:105332844","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111136230"," 60S ribosomal protein L14-like"
"37","crg:105332844","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111133720"," 60S ribosomal protein L14-like"
"38","crg:105333469","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111101860"," 60S ribosomal protein L35a-like"
"39","crg:105335803","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111103110"," 60S ribosomal protein L13a-like"
"40","crg:105335803","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111103170"," 60S ribosomal protein L13a-like"
"41","crg:105335873","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111126482"," 40S ribosomal protein S3"
"42","crg:105335873","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111126078"," 40S ribosomal protein S3"
"43","crg:105336480","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111119970"," 60S ribosomal protein L10-like"
"44","crg:105336480","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111119745"," 60S ribosomal protein L10-like"
"45","crg:105337746","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111135849"," 60S ribosomal protein L13-like"
"46","crg:105338035","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111129410"," 60S ribosomal protein L11-like"
"47","crg:105338085","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111100708"," 40S ribosomal protein S13-like"
"48","crg:105338614","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111127437"," 60S ribosomal protein L35-like"
"49","crg:105338952","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111108088"," 28S ribosomal protein S14, mitochondrial-like"
"50","crg:105339104","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111123867"," 40S ribosomal protein S25-like"
"51","crg:105340032","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111135077"," 40S ribosomal protein S8-like"
"52","crg:105340582","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118510"," 40S ribosomal protein S20"
"53","crg:105341101","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118126"," 40S ribosomal protein S9"
"54","crg:105341326","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111130771"," 40S ribosomal protein S6-like"
"55","crg:105341326","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111130218"," 40S ribosomal protein S6-like"
"56","crg:105341412","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111107343"," 40S ribosomal protein S10-like"
"57","crg:105341412","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111137591"," 40S ribosomal protein S10-like"
"58","crg:105342603","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111102811"," 60S ribosomal protein L24-like"
"59","crg:105342603","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111103150"," 60S ribosomal protein L24-like"
"60","crg:105343260","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111130625"," 40S ribosomal protein S17-like"
"61","crg:105343260","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111128009"," 40S ribosomal protein S17-like"
"62","crg:105344646","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111134500"," 60S ribosomal protein L7-like"
"63","crg:105347733","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111111438"," 60S ribosomal protein L27"
"64","crg:105347800","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111126281"," 40S ribosomal protein S18"
"65","crg:105348141","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111105616"," 60S ribosomal protein L44-like"
"66","crg:105348141","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111102683"," 60S ribosomal protein L44-like"
"67","crg:105348430","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111107317"," 40S ribosomal protein S23"
"68","crg:105348430","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111106468"," 40S ribosomal protein S23"
"69","crg:105348494","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118248"," 40S ribosomal protein S12-like"
