real real bad,,,,,,,,,,,
real real bad,,,,,,,,,,,
,Sample.ID,stage,length_um,Temp,OA,Salinity,Replicate,pH,Aragonite_saturation,random_fact,Age
114,11,larvae,78.09967132,Low,Low,High,B,7.8,1.5,LLH_B,1
115,11,larvae,78.30320766,Low,Low,High,B,7.8,1.5,LLH_B,1
116,11,larvae,70.93494482,Low,Low,High,B,7.8,1.5,LLH_B,1
117,11,larvae,71.87751628,Low,Low,High,B,7.8,1.5,LLH_B,1
118,11,larvae,73.16926428,Low,Low,High,B,7.8,1.5,LLH_B,1
119,11,larvae,71.09504014,Low,Low,High,B,7.8,1.5,LLH_B,1
120,11,larvae,77.46090711,Low,Low,High,B,7.8,1.5,LLH_B,1
121,11,larvae,70.33619115,Low,Low,High,B,7.8,1.5,LLH_B,1
122,11,larvae,78.01227889,Low,Low,High,B,7.8,1.5,LLH_B,1
123,11,larvae,75.22951596,Low,Low,High,B,7.8,1.5,LLH_B,1
124,11,larvae,68.45062917,Low,Low,High,B,7.8,1.5,LLH_B,1
125,11,larvae,71.45871632,Low,Low,High,B,7.8,1.5,LLH_B,1
126,11,larvae,74.47677295,Low,Low,High,B,7.8,1.5,LLH_B,1
127,11,larvae,75.71218219,Low,Low,High,B,7.8,1.5,LLH_B,1
128,11,larvae,67.78112429,Low,Low,High,B,7.8,1.5,LLH_B,1
129,11,larvae,73.8143624,Low,Low,High,B,7.8,1.5,LLH_B,1
130,11,larvae,71.07960205,Low,Low,High,B,7.8,1.5,LLH_B,1
131,11,larvae,70.70377071,Low,Low,High,B,7.8,1.5,LLH_B,1
132,11,larvae,77.39630006,Low,Low,High,B,7.8,1.5,LLH_B,1
133,11,larvae,77.66574271,Low,Low,High,B,7.8,1.5,LLH_B,1
134,11,larvae,76.6775819,Low,Low,High,B,7.8,1.5,LLH_B,1
135,11,larvae,73.63784404,Low,Low,High,B,7.8,1.5,LLH_B,1
136,11,larvae,68.67371658,Low,Low,High,B,7.8,1.5,LLH_B,1
137,11,larvae,74.6956063,Low,Low,High,B,7.8,1.5,LLH_B,1
138,11,larvae,72.98724123,Low,Low,High,B,7.8,1.5,LLH_B,1
139,11,larvae,74.53132618,Low,Low,High,B,7.8,1.5,LLH_B,1
140,11,larvae,86.21446914,Low,Low,High,B,7.8,1.5,LLH_B,1
141,11,larvae,71.92811421,Low,Low,High,B,7.8,1.5,LLH_B,1
142,11,larvae,74.95002291,Low,Low,High,B,7.8,1.5,LLH_B,1
143,11,larvae,73.94977913,Low,Low,High,B,7.8,1.5,LLH_B,1
144,11,larvae,70.00893622,Low,Low,High,B,7.8,1.5,LLH_B,1
145,11,larvae,71.81578345,Low,Low,High,B,7.8,1.5,LLH_B,1
146,11,larvae,71.10783219,Low,Low,High,B,7.8,1.5,LLH_B,1
147,11,larvae,72.06777682,Low,Low,High,B,7.8,1.5,LLH_B,1
148,11,larvae,71.92811421,Low,Low,High,B,7.8,1.5,LLH_B,1
149,11,larvae,74.19535815,Low,Low,High,B,7.8,1.5,LLH_B,1
150,11,larvae,72.06777682,Low,Low,High,B,7.8,1.5,LLH_B,1
151,12,larvae,77.076194,Low,Low,High,C,7.8,1.5,LLH_C,1
152,12,larvae,71.25794126,Low,Low,High,C,7.8,1.5,LLH_C,1
153,12,larvae,73.91589225,Low,Low,High,C,7.8,1.5,LLH_C,1
154,12,larvae,81.27563858,Low,Low,High,C,7.8,1.5,LLH_C,1
155,12,larvae,75.92173885,Low,Low,High,C,7.8,1.5,LLH_C,1
156,12,larvae,75.55298012,Low,Low,High,C,7.8,1.5,LLH_C,1
157,12,larvae,71.21136427,Low,Low,High,C,7.8,1.5,LLH_C,1
