"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"25","crg:105328963","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105328963","probable 60S ribosomal protein L37-A"
"26","crg:105329407","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105329407","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9"
"27","crg:105330605","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105330605","60S ribosomal protein L30"
"28","crg:105330935","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105330935","U1 small nuclear ribonucleoprotein C isoform X1"
"29","crg:105331157","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105331157","40S ribosomal protein S15Aa"
"30","crg:105332215","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105332215","40S ribosomal protein S15"
"31","crg:105332495","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105332495","40S ribosomal protein S4"
"32","crg:105332844","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105332844","60S ribosomal protein L14"
"33","crg:105333469","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105333469","60S ribosomal protein L35a"
"34","crg:105335803","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105335803","60S ribosomal protein L13a"
"35","crg:105335873","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105335873","40S ribosomal protein S3"
"36","crg:105336480","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105336480","60S ribosomal protein L10"
"37","crg:105337746","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105337746","60S ribosomal protein L13"
"38","crg:105337940","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105337940","protein mago nashi homolog 2"
"39","crg:105338035","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105338035","60S ribosomal protein L11"
"40","crg:105338085","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105338085","40S ribosomal protein S13"
"41","crg:105338614","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105338614","60S ribosomal protein L35 isoform X1"
"42","crg:105338952","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105338952","28S ribosomal protein S14, mitochondrial"
"43","crg:105339104","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105339104","40S ribosomal protein S25"
"44","crg:105340032","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105340032","40S ribosomal protein S8"
"45","crg:105340582","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105340582","Rps20; 40S ribosomal protein S20"
"46","crg:105341101","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105341101","40S ribosomal protein S9"
"47","crg:105341238","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105341238","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7"
"48","crg:105341326","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105341326","40S ribosomal protein S6"
"49","crg:105341412","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105341412","40S ribosomal protein S10-like"
"50","crg:105341417","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105341417","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13"
"51","crg:105342170","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105342170","cytochrome c oxidase subunit 6A, mitochondrial"
"52","crg:105342603","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105342603","60S ribosomal protein L24"
"53","crg:105343260","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105343260","40S ribosomal protein S17"
"54","crg:105343349","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105343349","ATP synthase subunit delta, mitochondrial"
"55","crg:105343615","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105343615","cytochrome c oxidase subunit 12, mitochondrial"
"56","crg:105344646","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105344646","60S ribosomal protein L7"
"57","crg:105346162","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105346162","small nuclear ribonucleoprotein Sm D2"
"58","crg:105347083","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105347083","small nuclear ribonucleoprotein E"
"59","crg:105347217","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105347217","cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
"60","crg:105347733","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105347733","60S ribosomal protein L27"
"61","crg:105347800","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105347800","40S ribosomal protein S18"
"62","crg:105347858","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105347858","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"
"63","crg:105348141","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105348141","60S ribosomal protein L44"
"64","crg:105348430","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105348430","40S ribosomal protein S23"
"65","crg:105348494","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105348494","40S ribosomal protein S12"
"66","crg:105348656","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105348656","40S ribosomal protein S19-like"
