Date & time of file creation	5/7/2021 3:53 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/3:53:34 PM	M1   	1014.0	17.1	25.5450	28.20	97.70	26.0475	28.20	103.35	24.7625	28.20	100.42	25.7550	28.20	101.63	25.0150	28.26	99.99	26.1000	28.26	102.01	25.6475	28.26	101.23	24.7400	28.26	99.27	NaN	NaN	NaN	NaN	28.1975	28.20	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:35 PM	M1   	1014.0	17.1	25.5650	28.19	97.52	26.0350	28.19	103.49	24.7700	28.19	100.36	25.7675	28.19	101.52	25.0025	28.27	100.10	26.1000	28.27	101.99	25.6650	28.27	101.05	24.7400	28.27	99.25	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:36 PM	M1   	1014.0	27.1	25.5750	28.19	97.42	26.0225	28.19	103.61	24.7800	28.19	100.26	25.7625	28.19	101.57	25.0125	28.27	100.01	26.1000	28.27	102.00	25.7125	28.27	100.58	24.7450	28.27	99.21	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:37 PM	M1   	1014.0	27.1	25.5675	28.19	97.50	26.0350	28.19	103.49	24.8075	28.19	99.99	25.7625	28.19	101.57	25.0175	28.26	99.97	26.1000	28.26	102.01	25.6375	28.26	101.34	24.7575	28.26	99.10	NaN	NaN	NaN	NaN	28.1875	28.19	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:38 PM	M1   	1014.0	27.1	25.5775	28.18	97.41	26.0425	28.18	103.43	24.8000	28.18	100.07	25.7375	28.18	101.84	25.0150	28.26	99.99	26.1000	28.26	102.01	25.6575	28.26	101.13	24.7525	28.26	99.14	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:39 PM	M1   	1014.0	27.1	25.5400	28.18	97.77	26.0225	28.18	103.63	24.7875	28.18	100.20	25.7375	28.18	101.84	25.0275	28.27	99.86	26.0975	28.27	102.02	25.6625	28.27	101.08	24.7600	28.27	99.06	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:40 PM	M1   	1014.0	27.1	25.5475	28.18	97.70	26.0250	28.18	103.60	24.7550	28.18	100.53	25.7600	28.18	101.61	25.0200	28.26	99.94	26.0900	28.26	102.11	25.6875	28.26	100.84	24.7575	28.26	99.10	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:41 PM	M1   	1014.0	27.1	25.5650	28.18	97.53	26.0150	28.18	103.70	24.7700	28.18	100.38	25.7625	28.18	101.59	25.0175	28.26	99.96	26.0925	28.26	102.08	25.6525	28.26	101.18	24.7525	28.26	99.14	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:42 PM	M1   	1014.0	27.1	25.5525	28.18	97.65	26.0225	28.18	103.63	24.7725	28.18	100.35	25.7600	28.18	101.61	25.0075	28.27	100.05	26.0975	28.27	102.02	25.6550	28.27	101.15	24.7550	28.27	99.11	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:43 PM	M1   	1014.0	27.1	25.5675	28.18	97.51	26.0000	28.18	103.86	24.7825	28.18	100.25	25.7325	28.18	101.89	25.0025	28.27	100.10	26.0875	28.27	102.12	25.6475	28.27	101.22	24.7450	28.27	99.21	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
