Date & time of file creation	5/7/2021 2:51 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/2:51:56 PM	M1   	1014.0	17.1	23.0950	27.85	99.91	25.7900	27.85	99.41	NaN	27.85	NaN	25.1950	27.85	100.39	24.9575	27.95	101.42	25.5400	27.95	101.93	24.9625	27.95	101.43	25.1450	27.95	100.76	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9500	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:57 PM	M1   	1014.0	17.1	23.1100	27.85	99.75	25.7900	27.85	99.40	NaN	27.85	NaN	25.2100	27.85	100.23	24.9500	27.95	101.50	25.5350	27.95	101.98	25.0275	27.95	100.78	25.1500	27.95	100.71	NaN	NaN	NaN	NaN	27.8525	27.85	OFF	27.9500	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:58 PM	M1   	1014.0	17.1	23.1100	27.86	99.74	25.7875	27.86	99.42	NaN	27.86	NaN	25.2100	27.86	100.22	24.9500	27.95	101.49	25.5250	27.95	102.08	25.0075	27.95	100.97	25.1200	27.95	101.01	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9525	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:59 PM	M1   	1014.0	17.1	23.1050	27.86	99.79	25.7750	27.86	99.54	NaN	27.86	NaN	25.2100	27.86	100.22	24.9550	27.96	101.43	25.5425	27.96	101.89	24.9400	27.96	101.64	25.1225	27.96	100.97	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:00 PM	M1   	1014.0	17.1	23.0900	27.86	99.94	25.7675	27.86	99.61	NaN	27.86	NaN	25.2075	27.86	100.24	24.9625	27.96	101.36	25.5500	27.96	101.82	24.8950	27.96	102.10	25.1375	27.96	100.82	NaN	NaN	NaN	NaN	27.8625	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:01 PM	M1   	1014.0	17.1	23.1025	27.87	99.81	25.7850	27.87	99.43	NaN	27.87	NaN	25.2000	27.87	100.31	24.9375	27.96	101.61	25.5475	27.96	101.84	24.9800	27.96	101.24	25.1575	27.96	100.62	NaN	NaN	NaN	NaN	27.8675	27.87	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:02 PM	M1   	1014.0	17.1	23.1275	27.86	99.56	25.7750	27.86	99.54	NaN	27.86	NaN	25.2075	27.86	100.25	24.9375	27.96	101.61	25.5400	27.96	101.92	24.8800	27.96	102.25	25.1525	27.96	100.67	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:03 PM	M1   	1014.0	17.1	23.0975	27.86	99.87	25.7850	27.86	99.44	NaN	27.86	NaN	25.2275	27.86	100.05	24.9575	27.96	101.41	25.5400	27.96	101.92	25.0338	27.96	100.70	25.1537	27.96	100.66	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9612	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:04 PM	M1   	1014.0	17.1	23.1125	27.86	99.71	25.7725	27.86	99.56	NaN	27.86	NaN	25.2200	27.86	100.12	24.9425	27.97	101.55	25.5375	27.97	101.93	25.0275	27.97	100.75	25.1150	27.97	101.04	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9675	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:05 PM	M1   	1014.0	17.1	23.0900	27.86	99.95	25.7800	27.86	99.49	NaN	27.86	NaN	25.2150	27.86	100.17	24.9550	27.96	101.43	25.5325	27.96	101.99	24.9550	27.96	101.49	25.1300	27.96	100.90	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
